Country Name,Country Code,Series Name,Series Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,51.01103036,63.45407313,66.49102403,68.52506822,67.02056104,67.04718731,70.87234678,74.26709024,83.20208011,77.4517515,75.0949144,76.54339024,81.21856893,76.51020062,75.87371385,75.4078456,71.80100634,74.80986282,78.19424953,76.80818413,76.27919465,59.82972943,76.01798211,85.14968052
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,50.92910934,62.85834364,58.70616423,61.13417145,62.12477303,65.70142185,71.27860096,70.73001244,71.93812904,76.68451817,71.32433055,69.86666126,67.47430173,65.4049792,63.61082367,62.41431601,59.6951286,55.92566788,55.32140302,58.0655601,51.80973844,45.33065612,53.19552703,59.04228424
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,0,0,0,210.9375,207.4427481,202.3575639,223.2,229.8174442,218.1467181,249.8214286,161.3333333,157.9406632,157.5438596,176.40625,173.8244514,174.8055988,162.4071322,159.1654247,161.4379085,171.8309859,156.568779,154.368932,136.8,124.684271
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,0,0,0,105.3017426,103.9012296,103.5799471,106.5909621,94.62515933,108.0600679,121.3647085,122.4461441,104.1236353,99.98250633,91.80009734,86.81193276,79.33292278,62.88851609,53.37015807,52.25682223,66.37801333,57.82953812,65.94202893,74.46449859,68.17010045
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,32.93002425,31.65051398
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,70.56047914,72.23333023,69.86426639,73.98450184,80.0513676,73.07063399,70.13973858,61.03013798,56.97504709,54.54232796,57.27423574,64.64297597,69.43557366,75.96167596,77.55504816,75.77886696,71.68207434,76.07796746,87.20237654,92.47310702,96.11415413,69.48880754,79.66988882,101.0064924
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,164.5590143,145.0728795,140.3911086,133.2307714,132.7942913,132.4309298,145.0502801,141.0426267,139.9723095,139.1101498,137.5565759,135.4646547,154.4377869,156.6451972,161.8912803,162.8820521,145.8336633,142.2397634,143.8042955,145.2135524,145.3435727,124.1623751,139.9000872,160.4592566
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,39.02979542,40.93521098,44.2187045,41.4490922,40.20156691,37.00961359,39.16074697,41.55944717,42.00802003,42.8467764,45.74086303,40.51063301,41.83735112,43.14902469,41.25019106,42.4430282,41.59428041,40.79464187,41.94220912,43.34707849,45.74896336,44.14304559,39.70236024,45.13674444
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,78.26014034,85.36049562,87.53666476,86.948168,86.38738242,90.79234569,94.03380568,98.08831121,100.7332541,102.0736827,87.06223097,99.01979624,105.1027886,105.1521774,104.0664141,103.5035353,102.4273154,100.9820783,104.9388449,107.9236395,107.8925146,99.70829518,110.9849581,123.6854387
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,69.82596488,78.54856828,78.81518549,92.81814433,107.5519485,121.5071159,115.8418846,105.2623998,96.64180815,89.24289686,74.74404168,74.98598846,80.50804501,78.26306954,74.67584476,69.4832252,72.60150791,90.07731873,90.40231568,91.67257654,85.81814541,72.01786765,76.28686569,87.07775332
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,75.70273833,79.64494389,72.50088064,70.27798171,71.06354051,76.00198337,81.39627092,87.5507143,88.01281556,87.42922288,76.52104396,78.67560243,88.33368916,84.25152047,86.84045981,85.17968437,73.48473815,70.72029138,72.47806749,76.17278877,72.39924342,59.03676214,67.75824977,80.19678385
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,141.8316988,135.8091353,127.0262663,131.1336342,128.0915822,140.73731,148.3135251,147.1041811,137.7850506,145.8825111,117.9637254,120.4723945,174.155268,185.8846506,191.8725541,175.5678369,154.931375,139.6205555,143.0866673,150.8060546,141.700835,140.2180124,159.8729805,0
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,28.38794056,29.32171436,32.09801707,28.96738072,27.6578849,26.85823415,34.39693486,38.11192443,39.94238265,42.62091403,40.09279622,37.80284267,47.42084984,48.11092275,46.29640272,44.5140802,42.08599631,31.33415013,29.99972938,32.51463542,31.57805128,26.27144738,27.7240047,33.77996727
Barbados,BRB,Trade (% of GDP),NE.TRD.GNFS.ZS,88.19100556,90.5785259,86.36274349,83.47175278,90.09191463,92.04674118,97.61618013,96.5168526,91.14356012,94.53738049,88.46041877,86.89957296,86.61627008,87.15497903,92.0350866,89.54881468,87.17046895,78.47541965,76.28247501,81.03908811,80.85506731,65.29923187,70.18342102,78.34805568
